"subject","depth_pct","analysis"
"S059",0.990993377483444,"a_two"
"S060",0.768471872376154,"a_two"
"M000",0.850815850815851,"a_two_flat"
"S002v2",0.994764397905759,"a_two_flat"
"S003",0.956509298998569,"a_two_flat"
"S006",0.992949471210341,"a_two_flat"
"S009",0.971560338201384,"a_two_flat"
"S010",0.993359375,"a_two_flat"
"S013",0.961933134723601,"a_two_flat"
"S014",0.924822695035461,"a_two_flat"
"S015",0.980373384394447,"a_two_flat"
"S016",0.881213142375737,"a_two_flat"
"S017",0.955195424213537,"a_two_flat"
"S018",0.997329773030708,"a_two_flat"
"S019",0.91698595146871,"a_two_flat"
"S020",0.997108632796365,"a_two_flat"
"S021",0.986945169712794,"a_two_flat"
"S022",0.976744186046512,"a_two_flat"
"S023",0.949797570850202,"a_two_flat"
"S025",0.651219512195122,"a_two_flat"
"S026",0.827121332275971,"a_two_flat"
"S027",0.998527788001472,"a_two_flat"
"S028",0.997591190640055,"a_two_flat"
"S029",0.942617214835549,"a_two_flat"
"S030",0.999146757679181,"a_two_flat"
"S031",0.95995145631068,"a_two_flat"
"S032",0.995393474088292,"a_two_flat"
"S035",0.997093023255814,"a_two_flat"
"S036",0.0157746478873239,"a_two_flat"
"S037",0.995348837209302,"a_two_flat"
"S038",0.444253859348199,"a_two_flat"
"S039",0.997559785261103,"a_two_flat"
"S041",0.979575805184603,"a_two_flat"
"S042",0.993197278911565,"a_two_flat"
"S043",0.984146341463415,"a_two_flat"
"S044",0.962522045855379,"a_two_flat"
"S045",0.99933110367893,"a_two_flat"
"S046",0.994138335287222,"a_two_flat"
"S047",0.989355410999409,"a_two_flat"
"S048",0.984375,"a_two_flat"
"S049",0.732571428571429,"a_two_flat"
"S050",0.898453261600538,"a_two_flat"
"S051",0.902114803625378,"a_two_flat"
"S052",0.899463152757443,"a_two_flat"
"S053",0.984337921214998,"a_two_flat"
"S054",0.528043775649795,"a_two_flat"
"S056",0.947712418300654,"a_two_flat"
"S057",0.491770238495129,"a_two_flat"
"S058",0.993031358885017,"a_two_flat"
"S059",0.992326139088729,"a_two_flat"
"S060",0.731586206896552,"a_two_flat"
"V01",0.94137783483098,"a_three"
"V02",0.982149940499802,"a_three"
"V03",0.96304347826087,"a_three"
"V04",0.941810344827586,"a_three"
"V05",0.942355889724311,"a_three"
"V06",0.977565160013197,"a_three"
"V07",0.983333333333333,"a_three"
"V08",0.988235294117647,"a_three"
"V09",0.991171749598716,"a_three"
"V10",0.974760661444734,"a_three"
"V11",0.771183938588722,"a_three"
"V12",0.979848130841122,"a_three"
"V15",0.188905547226387,"a_three"
"V16",0.982696702579171,"a_three"
"V17",0.955696202531646,"a_three"
"V18",0.90642387455741,"a_three"
"V20",0.798930481283422,"a_three"
"V22",0.992193308550186,"a_three"
"V23",0.981636935991606,"a_three"
"V01",0.931631722880583,"a_three_flat"
"V02",0.995332555425904,"a_three_flat"
"V03",0.968586387434555,"a_three_flat"
"V04",0.940748440748441,"a_three_flat"
"V05",0.95938864628821,"a_three_flat"
