"subject","enhanced_speed","hrm_step_length","hrm_vertical_oscillation","stryd_leg_spring_stiffness","stryd_stance_time","analysis"
"M000",0.937997131307863,0.920133002999087,0.904224801147477,0.883817968444387,0.958860346850958,"a_one"
"S002v2",0.999742732184204,0.982763056341652,0.196423977360432,0.184203756110111,0.997684589657834,"a_one"
"S003",0.965164392753299,0.985461865354507,0.40499888168195,0.486412435696712,0.958510400357862,"a_one"
"S006",0.994381015003885,0.949429135034969,0.86412816067906,0.979556458843924,0.993424592025823,"a_one"
"S009",0.902775759337306,0.874872838250254,0.365499200697573,0.967882575207092,0.961197500363319,"a_one"
"S010",0.958630716362675,0.929883690192969,0.833994184509648,0.786677240285488,0.995836637589215,"a_one"
"S013",0.960644393988539,0.941723429559952,0.829981619634555,0.518812844631852,0.943669585901179,"a_one"
"S014",0.937856979666438,0.87777016221156,0.959561343385881,0.85720813342472,0.933287639936029,"a_one"
"S015",0.99486125385406,0.995177484386118,0.980393707012412,0.15819432366195,0.984741876828208,"a_one"
"S016",0.978487614080834,0.929986962190352,0.922881355932203,0.991981747066493,0.973728813559322,"a_one"
"S017",0.998701660020403,0.991004358712789,0.841046091069276,0.770379300751182,0.899285913011221,"a_one"
"S018",0.999684077506318,0.985046335299073,0.984835720303286,0.920176916596462,0.996103622577928,"a_one"
"S019",0.999713187632651,0.999139562897952,0.970286238742615,0.557448517180061,0.996558251591809,"a_one"
"S020",0.998479823106689,0.998272526257601,0.685254284134881,0.588584853510227,0.996130458817026,"a_one"
"S021",0.998561496044114,0.998081994725486,0.819228002877008,0.379525293694558,0.989331095660513,"a_one"
"S022",1,0.992404626273088,0.999827377869843,0.974279302606594,0.995339202485759,"a_one"
"S023",0.997564726993079,0.99525762624968,0.631761086900795,0.954114329659062,0.996667521148423,"a_one"
"S025",1,0.984459703650163,0.872605710155403,0.925551138417058,0.996385977593061,"a_one"
"S026",0.86871387283237,0.927962427745665,0.825722543352601,0.668063583815029,0.840245664739884,"a_one"
"S027",0.998196730847536,0.968006515036938,0.897969867954162,0.919143738002443,0.998545750683497,"a_one"
"S028",0.940569715142429,0.934452773613193,0.981829085457271,0.915322338830585,0.981709145427286,"a_one"
"S029",0.995561784629759,0.961574398505022,0.889044615743985,0.598107918710582,0.996028965195048,"a_one"
"S030",0.998045700541191,0.99383644016837,0.8334335538184,0.897324113048707,0.955502104630186,"a_one"
"S031",0.822485946283573,0.743285446595878,0.710993129294191,0.717489069331668,0.858838226108682,"a_one"
"S032",0.477915329359621,0.5430994956442,0.469891487085435,0.477533241632279,0.775561668959193,"a_one"
"S035",0.997758475763519,0.991734379377977,0.826562062202298,0.730736901092743,0.997198094704399,"a_one"
"S036",0.999034833728174,0.999385803281565,0.96191980345705,0.984820566815829,0.998069667456348,"a_one"
"S037",0.829554101354436,0.81631410744179,0.949018414244407,0.832293410439811,0.886166489118856,"a_one"
"S038",0.98457258472433,0.901365705614568,0.849013657056146,0.0598128477491148,0.833586241780475,"a_one"
"S039",0.993982919254658,0.993982919254658,0.726416925465838,0.997670807453416,0.978843167701863,"a_one"
"S041",0.99662997079308,0.973376769265334,0.930128061109863,0.16681644574253,0.993372275893058,"a_one"
"S042",0.990491036632892,0.978643803585347,0.514419329696025,0.772096648480125,0.987529228371005,"a_one"
"S043",0.978371954842543,0.978609625668449,0.984551396316102,0.557575757575758,0.992751039809863,"a_one"
"S044",0.997963197078241,0.98244135412277,0.264714145245119,0.731633656412418,0.997822727911224,"a_one"
"S045",0.999436365685943,0.996054559801601,0.0366362304137076,0.685153872167738,0.999436365685943,"a_one"
"S046",0.937872819358469,0.960495216657288,0.483624085537423,0.286437816544738,0.992909397861564,"a_one"
"S047",0.995884773662551,0.986875764653542,0.678678678678679,0.350906462017573,0.994550105661217,"a_one"
"S048",0.995913712819538,0.980994013114131,0.561151762805284,0.820773543666255,0.98840634799962,"a_one"
"S049",0.949018950192856,0.919839007211135,0.734529599195036,0.134831460674157,0.604561462351165,"a_one"
"S050",0.861965039180229,0.720916214587101,0.829013461924854,0.857946554149086,0.821981113120354,"a_one"
"S051",0.895874916833001,0.872033710357064,0.343091594588601,0.623087159015303,0.893657130184076,"a_one"
"S052",0.999574504297507,0.996851331801549,0.908518423963918,0.435197004510254,0.951663688196749,"a_one"
"S053",0.986181636560393,0.987763256472155,0.925580620993923,0.971281112128527,0.903604428535753,"a_one"
"S054",0.982137388996632,0.97764621823007,0.908135143411248,0.0299071144227825,0.929161988363785,"a_one"
"S056",0.663519043122443,0.678942398489141,0.943657538558388,0.578847969782814,0.49606547056972,"a_one"
"S057",0.939601013997575,0.931720489364047,0.950016532569161,0.364984018516477,0.910117932326684,"a_one"
"S058",1,0.999467234949387,0.0458177943526905,0.839637719765583,0.998401704848162,"a_one"
"S059",0.997019867549669,0.866291390728477,0.615960264900662,0.759403973509934,0.99046357615894,"a_one"
"S060",0.964892947103275,0.934351385390428,0.850755667506297,0.542558774139379,0.882714105793451,"a_one"
"M000",0.946877731378071,0.932601728658833,0.907837234145868,0.881713120326309,0.968631640283578,"a_one_flat"
"S002v2",0.99981308411215,0.98,0.221308411214953,0.194018691588785,0.998691588785047,"a_one_flat"
"S003",0.968745529967101,0.984980689457874,0.407667000429123,0.490058646831641,0.961307395222429,"a_one_flat"
"S006",0.997160203681943,0.949569134351743,0.873873873873874,0.987465726596161,0.995201723462593,"a_one_flat"
"S009",0.914505283381364,0.878386167146974,0.353506243996158,0.96983669548511,0.962151777137368,"a_one_flat"
"S010",0.959094015425168,0.931172508054281,0.842136092941521,0.784438152884897,0.997071170555501,"a_one_flat"
"S013",0.960532847923217,0.947956313089525,0.803160681780573,0.53549561476088,0.947790832368029,"a_one_flat"
"S014",0.959929078014184,0.91241134751773,0.974822695035461,0.890070921985816,0.954964539007092,"a_one_flat"
"S015",0.997965533748205,0.997367161321206,0.991144088080421,0.161560555289612,0.984801340354236,"a_one_flat"
"S016",0.975044750973992,0.912077498157313,0.925239549331368,0.993471622617669,0.978730125302727,"a_one_flat"
"S017",0.998808530918623,0.99213630406291,0.844274991063982,0.770642201834862,0.904444179673538,"a_one_flat"
"S018",0.999833110814419,0.986481975967957,0.991989319092123,0.924899866488652,0.997329773030708,"a_one_flat"
"S019",0.999920191540303,0.999600957701516,0.971588188347965,0.537909018355946,0.998483639265762,"a_one_flat"
"S020",0.999690242643263,0.998760970573051,0.688384099122354,0.597934950955085,0.997315436241611,"a_one_flat"
"S021",0.998858075040783,0.998858075040783,0.826916802610114,0.392659053833605,0.992495921696574,"a_one_flat"
"S022",1,0.989963021658743,0.99973586899102,0.973058637083994,0.996830427892235,"a_one_flat"
"S023",0.997976937082743,0.994537730123407,0.603884280801133,0.960347966821768,0.996763099332389,"a_one_flat"
"S025",1,0.982317073170732,0.902134146341463,0.94390243902439,0.995121951219512,"a_one_flat"
"S026",0.864988104678826,0.920400475812847,0.847442505947661,0.667624900872324,0.838223632038065,"a_one_flat"
"S027",0.998987947373263,0.975894746526819,0.911491397552673,0.925476124758487,0.998711933020517,"a_one_flat"
"S028",0.939446069155341,0.93015654567349,0.986925855840358,0.912523653879236,0.981076896611044,"a_one_flat"
"S029",0.996328029375765,0.962231159293583,0.902255639097744,0.591012414757825,0.996502885119776,"a_one_flat"
"S030",0.998081023454158,0.993816631130064,0.845628997867804,0.901066098081023,0.953944562899787,"a_one_flat"
"S031",0.804004854368932,0.725222491909385,0.725930420711974,0.713288834951456,0.842940938511327,"a_one_flat"
"S032",0.473946838115344,0.538911812685923,0.469532674407447,0.46483063045773,0.771423087995394,"a_one_flat"
"S035",0.998305084745763,0.993462469733656,0.879661016949153,0.723486682808717,0.998547215496368,"a_one_flat"
